Date,Open,High,Low,Close,Adj Close,Volume
2018-05-04,4080.34,4191.05,4071.86,4181.46,4181.46,0
2018-05-07,4193.72,4229.34,4189.47,4212.49,4212.49,0
2018-05-08,4207.23,4236.6,4193.22,4235.18,4235.18,0
2018-05-09,4246.19,4289.91,4230.44,4286.74,4286.74,0
2018-05-10,4307.86,4351.33,4307.26,4348.75,4348.75,0
2018-05-11,4299.34,4313.35,4280.87,4290.41,4290.41,0
2018-05-14,4329.44,4356.15,4303.81,4311.65,4311.65,0
2018-05-15,4283.48,4286.17,4251.88,4278.57,4278.57,0
2018-05-16,4283.01,4324.95,4280.66,4320.34,4320.34,0
2018-05-17,4296.13,4324.69,4268.76,4295.94,4295.94,0
2018-05-18,4259.82,4275.62,4244.81,4249.56,4249.56,0
2018-05-21,4296.81,4304.12,4242.23,4266.61,4266.61,0
2018-05-22,4294.32,4310.43,4266.67,4272.65,4272.65,0
2018-05-23,4231.5,4295.28,4226.63,4294.92,4294.92,0
2018-05-24,4288.8,4307.3,4250.34,4293.69,4293.69,0
2018-05-25,4290.12,4311.32,4281.45,4300.44,4300.44,0
2018-05-29,4275.68,4302.08,4250.05,4275.06,4275.06,0
2018-05-30,4297.3,4323.7,4291.39,4299.54,4299.54,0
2018-05-31,4290.77,4323.48,4278.73,4282.47,4282.47,0
2018-06-01,4309.2,4363.27,4303.5,4363.02,4363.02,0
2018-06-04,4367.06,4395.4,4354.44,4393.7,4393.7,0
2018-06-05,4410.84,4427.44,4394.75,4417.02,4417.02,0
2018-06-06,4424.64,4439.79,4402.37,4439.23,4439.23,0
2018-06-07,4432.84,4432.86,4350.7,4383.99,4383.99,0
2018-06-08,4352.42,4384.56,4338.1,4378.45,4378.45,0
2018-06-11,4378.6,4396.89,4374.4,4384.83,4384.83,0
2018-06-12,4392.83,4411.21,4376.4,4406.48,4406.48,0
2018-06-13,4411.45,4438.96,4390.29,4398.99,4398.99,0
2018-06-14,4412.04,4441.59,4412.03,4429.15,4429.15,0
2018-06-15,4400.18,4419.3,4375.24,4418.36,4418.36,0
2018-06-18,4372.92,4409.57,4356.83,4404.6,4404.6,0
2018-06-19,4334.4,4369.64,4310.98,4368.54,4368.54,0
